Date,Initials,Plant,Plant ID,Chamber,CO2,Total weight,Bag weight,Plant biomass,
,,B,B10,62,0,10.9,7.5,3.4,
,,B,B10,63,1,10.5,7.5,3,
,,B,B10,60,1,9.8,7.5,2.3,
,,B,B10,61,0,14,11.2,2.8,
,,B,B12,63,1,13.7,7.5,6.2,
,,B,B12,60,1,13,7.5,5.5,
,,B,B12,61,0,10.3,7.4,2.9,
,,B,B2,63,1,13.6,7.5,6.1,
,,B,B2,60,1,11,7.5,3.5,
,,B,B2,61,0,15,11.3,3.7,
,,B,B4,63,1,9.5,7.4,2.1,
,,B,B4,62,0,12.1,7.3,4.8,
,,B,B4,60,1,9.8,7.5,2.3,
,,B,B4,61,0,13,11.2,1.8,
,,B,B6,60,1,11.3,7.5,3.8,
,,B,B6,63,1,19,11.2,7.8,
,,B,B6,62,0,16,11.3,4.7,
,,B,B6,61,0,15,11.2,3.8,
,,B,B8,62,0,13.9,7.4,6.5,
,,B,B8,60,1,25.3,7.4,17.9,
,,B,B8,61,0,17,11.2,5.8,
,,BW,BW10,60,1,22,11.1,10.9,
,,BW,BW10,61,0,14,11.2,2.8,
,,BW,BW10,62,0,24,11.3,12.7,
,,BW,BW12,63,1,20,11.2,8.8,
,,BW,BW12,60,1,22,11.2,10.8,
,,BW,BW12,61,0,20,11.1,8.9,
,,BW,BW12,62,0,19,11.3,7.7,
,,BW,BW2,63,1,21,11.2,9.8,
,,BW,BW2,62,0,18,11.3,6.7,
,,BW,BW2,61,0,22,11.2,10.8,
,,BW,BW2,60,1,21,11.2,9.8,
,,BW,BW4,62,0,21,11.3,9.7,
,,BW,BW4,60,1,21,11.2,9.8,
,,BW,BW4,61,0,17,11.2,5.8,
,,BW,BW4,63,1,18,11.2,6.8,
,,BW,BW6,63,1,16,11.2,4.8,
,,BW,BW6,61,0,20,11.2,8.8,
,,BW,BW8,63,1,16,11.1,4.9,
,,BW,BW8,60,1,20,11.2,8.8,
,,BW,BW8,62,0,17,11.3,5.7,
,,BW,BW8,61,0,20,11.2,8.8,
,,C,C10,63,1,10.2,7.5,2.7,
,,C,C10,62,0,8.2,7.4,0.8,
,,C,C10,60,1,13.8,11.2,2.6,
,,C,C10,61,0,15.6,11.2,4.4,
,,C,C12,60,1,8.7,7.4,1.3,
,,C,C12,62,0,8,7.3,0.7,
,,C,C12,63,1,13.1,11.2,1.9,
,,C,C12,61,0,13.7,11.2,2.5,
,,C,C2,62,0,8,7.3,0.7,
,,C,C2,61,0,9.1,7.4,1.7,
,,C,C2,60,1,9.3,7.4,1.9,
,,C,C4,63,1,9.8,7.4,2.4,
,,C,C4,62,0,8.8,7.3,1.5,
,,C,C4,60,1,9,7.5,1.5,
,,C,C4,61,0,9.8,7.5,2.3,
,,C,C6,60,1,9.3,7.5,1.8,
,,C,C6,61,0,9.8,7.4,2.4,
,,C,C6,62,0,11.6,11.2,0.4,
,,C,C6,63,1,12.6,11.3,1.3,
,,C,C8,60,1,8.8,7.4,1.4,
,,C,C8,61,0,9.1,7.4,1.7,
,,C,C8,63,1,12,11.2,0.8,
,,C,C8,62,0,12,11.2,0.8,
,,D,D10,62,0,8.1,7.4,0.7,
,,D,D10,61,0,8.9,7.4,1.5,
,,D,D10,60,1,8.8,7.5,1.3,
,,D,D10,63,1,9.2,7.5,1.7,
,,D,D12,62,0,8.3,7.2,1.1,
,,D,D12,60,1,8.6,7.4,1.2,
,,D,D12,61,0,8.5,7.5,1,
,,D,D12,63,1,8.2,7.4,0.8,
,,D,D2,63,1,8.4,7.5,0.9,
,,D,D2,62,0,8.9,7.3,1.6,
,,D,D2,61,0,9.2,7.4,1.8,
,,D,D2,60,1,8.5,7.4,1.1,
,,D,D4,60,1,8.8,7.4,1.4,
,,D,D4,63,1,9.6,7.5,2.1,
,,D,D4,62,0,8.1,7.4,0.7,
,,D,D4,61,0,8.8,7.4,1.4,
,,D,D6,62,0,8.3,7.2,1.1,
,,D,D6,63,1,8.8,7.4,1.4,
,,D,D6,61,0,8.8,7.6,1.2,
,,D,D6,60,1,9,7.5,1.5,
,,D,D8,62,0,8.9,7.2,1.7,
,,D,D8,60,1,9,7.5,1.5,
,,D,D8,61,0,9,7.5,1.5,
,,LP,LP10,63,1,15,11.2,3.8,
,,LP,LP10,61,0,15,11.3,3.7,
,,LP,LP10,60,1,17,11.2,5.8,
,,LP,LP10,62,0,16,11.2,4.8,
,,LP,LP12,63,1,14,11.2,2.8,
,,LP,LP12,62,0,19,11.3,7.7,
,,LP,LP12,60,1,17,11.2,5.8,
,,LP,LP12,61,0,14,11.3,2.7,
,,LP,LP2,62,0,13,11.2,1.8,
,,LP,LP2,63,1,17,11.2,5.8,
,,LP,LP2,60,1,15,11.3,3.7,
,,LP,LP2,61,0,16,11.3,4.7,
,,LP,LP4,63,1,17,11.2,5.8,
,,LP,LP4,62,0,16,11.2,4.8,
,,LP,LP4,61,0,17,11.2,5.8,
,,LP,LP4,60,1,18,11.2,6.8,
,,LP,LP6,62,0,15,11.3,3.7,
,,LP,LP6,63,1,17,11.2,5.8,
,,LP,LP6,60,1,16,11.2,4.8,
,,LP,LP6,61,0,16,11.3,4.7,
,,LP,LP8,63,1,17,11.2,5.8,
,,LP,LP8,62,0,18,11.2,6.8,
,,LP,LP8,60,1,21,11.2,9.8,
,,LP,LP8,61,0,14,11.2,2.8,
,,N,N10,62,0,13.9,7.3,6.6,
,,N,N10,63,1,20,11.2,8.8,
,,N,N10,61,0,19,11.2,7.8,
,,N,N10,60,1,18,11.2,6.8,
,,N,N12,63,1,17.9,7.4,10.5,
,,N,N12,60,1,16.8,7.5,9.3,
,,N,N12,61,0,21,11.2,9.8,
,,N,N12,62,0,16,11.2,4.8,
,,N,N2,60,1,13.8,7.4,6.4,
,,N,N2,63,1,17.8,7.4,10.4,
,,N,N2,62,0,11.7,7.2,4.5,
,,N,N2,61,0,19,11.2,7.8,
,,N,N4,61,0,21,11.3,9.7,
,,N,N4,62,0,19,11.3,7.7,
,,N,N4,63,1,21,11.2,9.8,
1/25/22,OB,N,N6,60,1,17.8,7.2,10.6,
,,N,N6,61,0,20.1,7.4,12.7,
,,N,N6,62,0,22,11.2,10.8,
,,N,N6,63,1,18,11.2,6.8,
,,N,N8,63,1,20.6,7.5,13.1,
,,N,N8,61,0,11.8,7.4,4.4,
,,N,N8,62,0,19,11.3,7.7,
,,PP,PP10,63,1,9.4,7.5,1.9,
,,PP,PP10,61,0,7.5,7.4,0.1,
,,PP,PP10,60,1,11.8,11.2,0.6,
,,PP,PP12,60,1,12.5,11.2,1.3,
,,PP,PP4,62,0,7.4,7.3,0.1,
,,PP,PP4,61,0,8.6,7.4,1.2,
,,PP,PP4,60,1,8,7.5,0.5,
,,PP,PP6,62,0,7.3,7.3,0,MINISCULE PLANT
,,PP,PP6,61,0,7.5,7.3,0.2,
,,PP,PP6,60,1,8.6,7.5,1.1,
,,PP,PP8,63,1,7.9,7.5,0.4,
,,PP,PP8,61,0,8,7.5,0.5,
,,PP,PP8,60,1,9,7.5,1.5,
,,SA,SA10,60,1,8.8,7.4,1.4,
,,SA,SA10,63,1,10,7.4,2.6,
,,SA,SA10,62,0,9.5,7.4,2.1,
,,SA,SA10,61,0,10.1,7.5,2.6,
,,SA,SA12,63,1,9.7,7.5,2.2,
,,SA,SA12,62,0,10.3,7.4,2.9,
,,SA,SA12,61,0,10.6,7.5,3.1,
,,SA,SA12,60,1,9.6,7.5,2.1,
,,SA,SA2,63,1,14.4,7.5,6.9,
,,SA,SA2,61,0,13.9,7.5,6.4,
,,SA,SA2,60,1,9.4,7.5,1.9,
,,SA,SA2,62,0,8.7,7.4,1.3,
,,SA,SA4,63,1,10.8,7.5,3.3,
,,SA,SA4,61,0,11.5,7.5,4,
,,SA,SA4,60,1,9.6,7.5,2.1,
,,SA,SA4,62,0,9.8,7.6,2.2,
,,SA,SA6,63,1,10,7.5,2.5,
,,SA,SA6,61,0,9.5,7.5,2,
,,SA,SA6,60,1,9.2,7.5,1.7,
,,SA,SA6,62,0,9.5,7.5,2,
,,SA,SA8,63,1,11,7.4,3.6,
,,SA,SA8,60,1,9.2,7.4,1.8,
,,SA,SA8,61,0,10.3,7.5,2.8,
,,SA,SA8,62,0,8.9,7.6,1.3,
,,SF,SF10,63,1,10.5,7.4,3.1,
,,SF,SF10,60,1,11.5,7.4,4.1,
,,SF,SF10,62,0,9.8,7.4,2.4,
,,SF,SF10,61,0,17,11.2,5.8,
,,SF,SF12,63,1,12.4,7.5,4.9,
,,SF,SF12,61,0,12,7.4,4.6,
,,SF,SF12,60,1,17,11.2,5.8,
,,SF,SF2,60,1,10.9,7.6,3.3,
,,SF,SF2,63,1,10.8,7.5,3.3,
,,SF,SF2,61,0,9.2,7.4,1.8,
,,SF,SF2,62,0,14,11.2,2.8,
,,SF,SF4,63,1,13,7.5,5.5,
,,SF,SF4,62,0,11.2,7.2,4,
,,SF,SF4,61,0,10.9,7.4,3.5,
,,SF,SF4,60,1,9.3,7.5,1.8,
,,SF,SF6,63,1,16,11.2,4.8,
,,SF,SF6,60,1,16,11.2,4.8,
,,SF,SF6,62,0,15,11.2,3.8,
,,SF,SF6,61,0,17,11.2,5.8,
,,SF,SF8,63,1,13.5,7.5,6,
,,SF,SF8,62,0,10.1,7.3,2.8,
,,SF,SF8,60,1,10.5,7.4,3.1,
,,SF,SF8,61,0,20,11.2,8.8,