SampleName,Plant,CO2,Chamber,Round,N,C,Notes,Omit
750,sunflower,ambient,2,2,3.9479,49.8859,,
751,sunflower,ambient,2,2,4.1262,50.0545,,
760,sunflower,ambient,2,2,4.0159,49.2499,,
1035,buckwheat,elevated,1,2,0,46.0672,Below detection limit for N,1
1036,buckwheat,elevated,1,2,0,47.206,Below detection limit for N,1
1037,buckwheat,elevated,1,2,0,45.348,Below detection limit for N,1
1038,buckwheat,elevated,1,2,0,47.3163,Below detection limit for N,1
1039,buckwheat,elevated,1,2,0,46.6127,Below detection limit for N,1
1040,buckwheat,elevated,1,2,0,45.4386,Below detection limit for N,1
1041,buckwheat,elevated,1,2,1.4895,46.4716,,
1042,buckwheat,elevated,1,2,0,47.3945,Below detection limit for N,1
1043,buckwheat,elevated,1,2,1.4262,46.2719,,
1044,buckwheat,elevated,1,2,0,46.5152,Below detection limit for N,1
1045,buckwheat,ambient,2,2,0,46.82,Below detection limit for N,1
1046,buckwheat,ambient,2,2,0,46.0419,Below detection limit for N,1
1047,buckwheat,ambient,2,2,1.4099,46.5038,,
1048,buckwheat,ambient,2,2,1.381,47.9083,,
1049,buckwheat,ambient,2,2,0,47.2356,Below detection limit for N,1
1050,buckwheat,ambient,2,2,0,47.6614,Below detection limit for N,1
1051,buckwheat,ambient,2,2,0,46.4941,Below detection limit for N,1
1052,buckwheat,ambient,2,2,0,46.4203,Below detection limit for N,1
1053,buckwheat,ambient,2,2,0,47.7498,Below detection limit for N,1
1054,buckwheat,ambient,2,2,0,47.3541,Below detection limit for N,1
M1,tomatillo,ambient,1,1,8.043,48.312,,
M10,tomatillo,ambient,1,1,8.0475,49.2182,,
M101,poppy,elevated,2,1,6.3116,49.3114,,
M11,tomatillo,ambient,1,1,7.8974,48.5138,,
M12,tomatillo,ambient,1,1,7.7089,46.5281,,
M120,melon,ambient,1,1,4.1327,41.5378,,
M121,melon,ambient,1,1,3.8496,41.937,,
M122,melon,ambient,1,1,4.3294,42.208,,
M123,melon,elevated,2,1,3.3435,41.2217,,
M124,melon,elevated,2,1,3.2355,40.6727,,
M125,melon,elevated,2,1,4.2812,41.9926,,
M131,buckwheat,ambient,1,1,0,47.8565,Below detection limit for N,1
M132,buckwheat,ambient,1,1,0,48.5612,Below detection limit for N,1
M133,buckwheat,ambient,1,1,0,48.6311,Below detection limit for N,1
M135,buckwheat,ambient,1,1,0,47.1939,Below detection limit for N,1
M136,buckwheat,ambient,1,1,0,47.7183,Below detection limit for N,1
M137,buckwheat,ambient,1,1,1.4742,48.2044,,
M138,buckwheat,ambient,1,1,0,47.6573,Below detection limit for N,1
M139,buckwheat,ambient,1,1,0,47.2964,Below detection limit for N,1
M140,buckwheat,ambient,1,1,1.3438,47.7167,,
M141,buckwheat,elevated,2,1,0,47.1678,Below detection limit for N,1
M142,buckwheat,elevated,2,1,0,47.6533,Below detection limit for N,1
M143,buckwheat,elevated,2,1,0,47.0256,Below detection limit for N,1
M144,buckwheat,elevated,2,1,2.0886,47.4025,,
M145,buckwheat,elevated,2,1,0,49.0874,Below detection limit for N,1
M16,tomatillo,ambient,1,1,8.1483,49.0304,,
M17,tomatillo,ambient,1,1,8.2439,48.3593,,
M18,tomatillo,ambient,1,1,8.4507,47.9683,,
M184,partridge pea,elevated,1,2,7.9065,48.4801,,
M19,tomatillo,ambient,1,1,7.9915,47.972,,
M193,poppy,ambient,2,2,6.142,49.6951,,
M194,poppy,ambient,2,2,5.2601,49.5205,,
M196,poppy,elevated,1,2,5.9312,48.4844,,
M198,poppy,elevated,1,2,6.091,47.5708,,
M199,poppy,elevated,1,2,5.3566,48.4023,,
M2,tomatillo,ambient,1,1,8.2107,48.8681,,
M20,tomatillo,elevated,2,1,8.1938,48.6374,,
M201,poppy,elevated,1,2,6.1246,47.4601,,
M202,poppy,elevated,1,2,5.2726,46.7927,,
M204,squash,ambient,2,2,5.3535,49.3012,,
M205,squash,ambient,2,2,5.1781,48.2281,,
M206,squash,ambient,2,2,5.1757,48.0364,,
M207,squash,ambient,2,2,5.0468,47.5645,,
M210,squash,ambient,2,2,5.4995,49.8298,,
M211,squash,ambient,2,2,6.0567,48.5014,,
M212,squash,elevated,1,2,5.5952,47.6453,,
M213,squash,elevated,1,2,6.1762,48.3204,,
M214,squash,elevated,1,2,5.3322,47.917,,
M215,squash,elevated,1,2,5.3604,48.3588,,
M216,squash,elevated,1,2,5.3915,49.1569,,
M217,squash,elevated,1,2,6.1663,49.1895,,
M218,squash,elevated,1,2,5.3272,48.2782,,
M219,squash,elevated,1,2,5.3158,48.2709,,
M22,tomatillo,elevated,2,1,9.3061,47.9352,,
M23,tomatillo,elevated,2,1,8.2975,47.786,,
M25,tomatillo,elevated,2,1,7.634,46.7157,,
M3,tomatillo,ambient,1,1,8.2577,48.2393,,
M32,tomatillo,elevated,2,1,8.0343,44.8075,,
M33,tomatillo,elevated,2,1,8.7299,48.5411,,
M35,tomatillo,elevated,2,1,9.3038,47.6107,,
M36,tomatillo,elevated,2,1,7.9637,48.8314,,
M37,tomatillo,elevated,2,1,7.9204,46.6637,,
M38,sunflower,ambient,1,1,4.277,52.1746,,
M39,sunflower,ambient,1,1,4.2853,50.6601,,
M4,tomatillo,ambient,1,1,9.0942,47.0115,,
M40,sunflower,ambient,1,1,4.235,51.0343,,
M41,sunflower,ambient,1,1,4.8809,51.9995,,
M42,sunflower,ambient,1,1,4.3618,51.9473,,
M43,sunflower,ambient,1,1,4.6802,50.9308,,
M44,sunflower,ambient,1,1,4.3956,50.9357,,
M45,sunflower,elevated,2,1,4.1694,51.6832,,
M46,sunflower,elevated,2,1,4.1513,50.5631,,
M47,sunflower,elevated,2,1,4.1712,51.112,,
M48,sunflower,elevated,2,1,4.1084,51.9386,,
M49,sunflower,elevated,2,1,3.9509,51.2737,,
M5,tomatillo,ambient,1,1,8.3452,48.1677,,
M50,sunflower,elevated,2,1,4.5516,51.0184,,
M51,sunflower,elevated,1,2,4.0107,49.6727,,
M52,sunflower,elevated,1,2,4.1767,50.3832,,
M53,sunflower,ambient,2,2,4.126,50.1201,,
M54,sunflower,ambient,2,2,4.5417,49.9186,,
M55,tomato,ambient,1,1,8.496,48.8659,,
M56,tomato,ambient,1,1,8.3133,48.7117,,
M57,tomato,ambient,1,1,8.592,48.6524,,
M58,tomato,ambient,1,1,7.988,47.9491,,
M59,tomato,ambient,1,1,8.3615,48.9912,,
M6,tomatillo,ambient,1,1,8.5584,48.8754,,
M60,tomato,ambient,1,1,8.6187,48.4016,,
M61,tomato,elevated,2,1,8.6766,48.9248,,
M62,tomato,elevated,2,1,8.2927,48.7983,,
M63,tomato,elevated,2,1,8.4674,48.6058,,
M64,tomato,elevated,2,1,8.1613,48.5154,,
M65,tomato,elevated,2,1,8.2583,48.612,,
M66,tomato,elevated,2,1,8.6585,48.3175,,
M67,squash,ambient,1,1,5.4395,48.9452,,
M68,squash,ambient,1,1,5.7185,49.9007,,
M69,squash,ambient,1,1,5.1805,48.0982,,
M7,tomatillo,ambient,1,1,7.5589,46.486,,
M70,squash,ambient,1,1,4.7755,48.7331,,
M71,,,,,3.9157,46.1463,"Not in other database, likely squash ambient",1
M72,squash,ambient,1,1,6.1179,49.8328,,
M73,squash,elevated,2,1,5.3967,49.3595,,
M74,squash,elevated,2,1,5.2462,49.5394,,
M75,squash,elevated,2,1,5.1817,49.3056,,
M76,poppy,ambient,1,1,5.4434,49.8533,,
M77,poppy,ambient,1,1,6.5886,47.8928,,
M78,poppy,ambient,1,1,6.2395,49.4424,,
M79,poppy,ambient,1,1,6.3107,49.8433,,
M8,tomatillo,ambient,1,1,8.0893,47.8332,,
M80,poppy,ambient,1,1,6.1336,48.883,,
M81,poppy,ambient,1,1,6.0408,49.2248,,
M82,poppy,ambient,1,1,6.2065,48.0711,,
M83,poppy,ambient,1,1,6.0705,48.7704,,
M84,poppy,ambient,1,1,7.4161,48.2191,,
M85,poppy,ambient,1,1,5.9999,48.3827,,
M86,poppy,ambient,1,1,6.0612,48.9133,,
M87,poppy,ambient,1,1,5.8984,49.7454,,
M88,poppy,ambient,1,1,5.802,49.404,,
M89,poppy,ambient,1,1,6.2875,47.4673,,
M9,tomatillo,ambient,1,1,7.7537,48.0853,,
M91,poppy,elevated,2,1,6.1881,48.4799,,
M92,poppy,elevated,2,1,5.7041,48.6076,,
M94,poppy,elevated,2,1,6.0234,48.9209,,
M95,poppy,elevated,2,1,6.751,48.614,,
M97,poppy,elevated,2,1,7.322,47.8559,,
M98,poppy,elevated,2,1,6.3048,48.4006,,
M99,poppy,elevated,2,1,6.4398,48.8403,,